address,in_degree,out_degree,total_degree,pagerank,betweenness,clustering,second_order_neighbors
0x290ca4da2c963dea5ae736469a5b8a53d64d4e6a,0,5,5,0.0016244399531804145,0.0,0,368
0xa6bccfd21c5b23965c5f31d70fcef17b83b9c04a,5,2,7,0.011573459518242745,4.969487347685212e-05,0,6
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,5,0,5,0.015869710415121023,0.0,0,401
0x23aae216a4f32cf2217c01e9aa7843af620e13b1,1,1,2,0.006546503309078668,0.0,0,5
0x986a51ff1b75bd50b4dd8a05e5e69930e4245b5a,0,1,1,0.0016244399531804145,0.0,0,5
0x66f312a1fd1b3251f52a731f6d8a5aba76bf9327,0,1,1,0.0016244399531804145,0.0,0,5
0xfe4cbc0a00bd86345cbc43adaf6c93620d3438d0,0,1,1,0.0016244399531804145,0.0,0,5
0xe2102860361ced07ab9d75dbe815962b72165e82,2,0,2,0.0032804522008155067,0.0,0,4
0x45300136662dd4e58fc0df61e6290dffd992b785,0,1,1,0.0016244399531804145,0.0,0,1
0x186e6139cd55902faa3d70b4cd866e7237d2f6ed,8,5,13,0.011560513438990968,0.00023058421293259385,0,6
0xc747591eed28a868b3d212518343f18729513f86,1,0,1,0.0035901075759517246,0.0,0,12
0x5b7e79260c8aea02cfa937de79d7a8b1c4e6992b,1,0,1,0.0035901075759517246,0.0,0,12
0xdac17f958d2ee523a2206206994597c13d831ec7,5,0,5,0.01373571191683434,0.0,0,398
0x37c72da46e85e4917955ccfb90d85e891014ae64,1,0,1,0.0035901075759517246,0.0,0,12
0xe4d8af1eb616b4a24cf4d8da0b8a0cd4fb8dfed0,0,1,1,0.0016244399531804145,0.0,0,12
0x22d0d3c5df1db0f11050e54c909ddddf83488335,0,1,1,0.0016244399531804145,0.0,0,12
0x2f4d5f419bc0fc919f06cb0295f09ccca6b4fa63,0,1,1,0.0016244399531804145,0.0,0,12
0x95e485d4360a5f0ca1ef7cdc38f0640b461c6976,0,1,1,0.0016244399531804145,0.0,0,12
0x104c235c26603adad2f71d73e09812abc9500963,0,1,1,0.0016244399531804145,0.0,0,12
0x3dcae0e2812c79461af6bea83f936492893da969,0,1,1,0.0016244399531804145,0.0,0,12
0xd87b4182255ef5b2369924cda883125cdd9d7a65,0,1,1,0.0016244399531804145,0.0,0,12
0x5ced8dc729662eab1f923b3c43bfe6bb2dcd2ae6,2,1,3,0.0032804522008155067,7.95117975629634e-06,0,6
0x114927b79964d60cf68fe293d8d32a51ed61202b,0,1,1,0.0016244399531804145,0.0,0,2
0xd3265bb2373a4c1a3acc4afec906b12f7bdb3ec5,0,1,1,0.0016244399531804145,0.0,0,22
0x74d1cdab3d434c610befa65c3bb30f602846939e,19,4,23,0.027844633874069387,0.0004532172461088914,0,5
